epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1504.23,1.3899,1.18909,1.12552,0.72398,0.62031,0.68229,0.38788,1.39598,1.01116,1.13606,0.007162,0.007162,0.007162
45,1537.6,1.39114,1.17813,1.12225,0.72447,0.56616,0.62281,0.35149,1.41472,1.10397,1.15305,0.007096,0.007096,0.007096
46,1571.34,1.4035,1.16831,1.12701,0.71967,0.63455,0.66958,0.37102,1.44832,0.99804,1.13529,0.00703,0.00703,0.00703
47,1604.4,1.39501,1.19048,1.12709,0.72444,0.63879,0.68107,0.39651,1.39256,0.95241,1.14412,0.006964,0.006964,0.006964
48,1637.72,1.38386,1.16229,1.12045,0.7359,0.64705,0.68573,0.38589,1.39471,0.96499,1.13361,0.006898,0.006898,0.006898
49,1671.13,1.38765,1.15927,1.12149,0.65736,0.61779,0.65836,0.36402,1.45601,0.98573,1.15109,0.006832,0.006832,0.006832
50,1704.53,1.38723,1.16751,1.12517,0.71411,0.59927,0.66183,0.38307,1.42633,1.03867,1.14703,0.006766,0.006766,0.006766
51,1737.84,1.3834,1.14169,1.11687,0.65851,0.68711,0.70722,0.39563,1.3768,0.96607,1.11848,0.0067,0.0067,0.0067
52,1771.41,1.38431,1.153,1.12171,0.67799,0.543,0.60064,0.34192,1.48433,1.18372,1.18173,0.006634,0.006634,0.006634
53,1804.73,1.3798,1.15223,1.11545,0.7344,0.6832,0.72837,0.42341,1.39583,0.88047,1.12596,0.006568,0.006568,0.006568
54,1837.96,1.37731,1.14596,1.11886,0.69534,0.66516,0.6851,0.38394,1.42343,0.96851,1.14204,0.006502,0.006502,0.006502
55,1871.48,1.38399,1.16324,1.12118,0.70277,0.65581,0.71083,0.40384,1.37956,0.92385,1.12032,0.006436,0.006436,0.006436
56,1904.76,1.36586,1.13535,1.1106,0.70936,0.62459,0.66986,0.39013,1.37535,0.91251,1.12637,0.00637,0.00637,0.00637
57,1938,1.37789,1.137,1.11663,0.76703,0.6513,0.69573,0.40091,1.38009,0.90972,1.13323,0.006304,0.006304,0.006304
58,1971.23,1.38235,1.13648,1.12114,0.79085,0.64359,0.72298,0.41975,1.39291,0.89524,1.13566,0.006238,0.006238,0.006238
59,2004.47,1.37138,1.13135,1.11705,0.73645,0.67924,0.72278,0.40827,1.4061,0.87517,1.12937,0.006172,0.006172,0.006172
60,2037.96,1.36772,1.11332,1.11234,0.69203,0.61752,0.66069,0.37164,1.43234,1.00829,1.14702,0.006106,0.006106,0.006106
61,2071.28,1.37292,1.12943,1.11676,0.7087,0.69521,0.70777,0.40598,1.4365,0.89804,1.14429,0.00604,0.00604,0.00604
62,2104.37,1.37319,1.13033,1.11452,0.75382,0.60751,0.67369,0.39483,1.37716,0.97757,1.13276,0.005974,0.005974,0.005974
63,2137.72,1.37036,1.10951,1.11029,0.74337,0.61933,0.68866,0.39827,1.35081,0.89159,1.11739,0.005908,0.005908,0.005908
64,2171.14,1.3715,1.10746,1.11519,0.69425,0.68808,0.7052,0.39864,1.40949,0.93559,1.13597,0.005842,0.005842,0.005842
65,2204.74,1.37888,1.12254,1.11511,0.7067,0.71029,0.72245,0.41185,1.38007,0.87989,1.1247,0.005776,0.005776,0.005776
66,2238.04,1.36685,1.12517,1.11407,0.64963,0.74694,0.74855,0.42663,1.40726,0.85487,1.12787,0.00571,0.00571,0.00571
67,2271.39,1.36293,1.09785,1.1111,0.76665,0.69154,0.74685,0.43424,1.36992,0.83157,1.12148,0.005644,0.005644,0.005644
68,2304.56,1.37139,1.10158,1.11477,0.69054,0.71729,0.72666,0.40952,1.40391,0.86746,1.1244,0.005578,0.005578,0.005578
69,2338.07,1.35862,1.10393,1.10379,0.72752,0.70593,0.75501,0.44265,1.34988,0.86184,1.10753,0.005512,0.005512,0.005512
70,2371.22,1.3625,1.10233,1.10971,0.70999,0.62611,0.67402,0.38736,1.39704,1.08089,1.14338,0.005446,0.005446,0.005446
71,2404.38,1.35914,1.08676,1.10544,0.74493,0.71731,0.75963,0.44397,1.34939,0.84654,1.10244,0.00538,0.00538,0.00538
72,2437.73,1.36495,1.10136,1.11154,0.71358,0.70897,0.73246,0.41758,1.37497,0.85966,1.12015,0.005314,0.005314,0.005314
73,2471.07,1.35445,1.08637,1.10809,0.71448,0.68541,0.72316,0.41554,1.39944,0.85317,1.12281,0.005248,0.005248,0.005248
74,2504.19,1.35462,1.08295,1.10525,0.76798,0.68927,0.74037,0.42924,1.35991,0.90084,1.12643,0.005182,0.005182,0.005182
75,2537.51,1.34512,1.07986,1.10377,0.79212,0.68309,0.74836,0.41835,1.43007,0.88861,1.14189,0.005116,0.005116,0.005116
76,2570.78,1.34224,1.06525,1.10212,0.74231,0.67429,0.72415,0.41619,1.38255,0.88276,1.14754,0.00505,0.00505,0.00505
77,2604.04,1.36116,1.07903,1.10791,0.76758,0.72642,0.76786,0.45394,1.34681,0.83774,1.11458,0.004984,0.004984,0.004984
78,2637.64,1.34713,1.05553,1.10427,0.80623,0.71154,0.77602,0.45575,1.33995,0.81871,1.10714,0.004918,0.004918,0.004918
79,2671.21,1.34858,1.07092,1.10201,0.75586,0.72269,0.76026,0.45288,1.32767,0.78844,1.10736,0.004852,0.004852,0.004852
80,2704.22,1.34674,1.06413,1.10406,0.78387,0.68174,0.7491,0.43767,1.3561,0.83664,1.10776,0.004786,0.004786,0.004786
81,2737.38,1.33975,1.06322,1.1051,0.73612,0.62849,0.70623,0.39396,1.50233,0.94177,1.16257,0.00472,0.00472,0.00472
82,2770.61,1.34692,1.06011,1.10207,0.7494,0.73389,0.76652,0.45018,1.37257,0.84995,1.12316,0.004654,0.004654,0.004654
83,2803.88,1.34645,1.06736,1.10087,0.77991,0.71613,0.76087,0.43515,1.40754,0.83725,1.12079,0.004588,0.004588,0.004588
84,2837.05,1.34722,1.06081,1.1034,0.76524,0.67224,0.73904,0.43046,1.38279,0.8595,1.13151,0.004522,0.004522,0.004522
85,2870.2,1.33854,1.04301,1.09671,0.80681,0.75238,0.80305,0.47048,1.32425,0.77569,1.10386,0.004456,0.004456,0.004456
86,2903.25,1.35407,1.06051,1.10412,0.79847,0.72124,0.78292,0.45428,1.37268,0.7867,1.11708,0.00439,0.00439,0.00439
